OBJECTID,id,d,e,datum,den,rok,mesic,zavineni,viditelnost,cas,hodina,mesic_t,doba,den_v_tydnu,alkohol,alkohol_vinik,hlavni_pricina,srazka,pricina,stav_vozovky,povetrnostni_podm,rozhled,misto_nehody,druh_komun,usmrceno_os,tezce_zran_os,lehce_zran_os,hmotna_skoda,smrt,tz,lz,smrt_dny,smrt_po,vek_skupina,chodec_pohlavi,kategorie_chodce,stav_chodce,chovani_chodce,situace_nehody,prvni_pomoc,nasledky_chodce,nazev,POINT_X,POINT_Y,GlobalID,x,y
2439,60206202121,-599606.669,-1154752.962,11/30/2020 12:00:00 AM,1,2020,11,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1800,18,listopad,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,1,152000,0,0,1,1,,24-32,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,lehké zranění,Brno-Řečkovice a Mokrá Hora,16.57940869,49.247352553,c84eec28-350d-42ff-98f7-f211d91d84dc,614946.666380289,5456153.68905753
2440,60206202121,-599606.669,-1154752.962,11/30/2020 12:00:00 AM,1,2020,11,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1800,18,listopad,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,1,152000,0,1,0,1,,33-44,muž,jiná skupina,nezjištěno,žádné z uvedených,jiná situace,vozidlem RZP,těžké zranění,Brno-Řečkovice a Mokrá Hora,16.57940869,49.247352553,f269735e-2001-43ab-8629-42ac1b56c2e0,614946.666380289,5456153.68905753
2441,60206202122,-598722.48,-1162686.293,11/30/2020 12:00:00 AM,1,2020,11,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1752,17,listopad,den,pondělí,"Ano, obsah alkoholu v krvi 1,5‰ a více",ano,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,33-44,muž,muž,"pod vlivem alkoholu, obsah alkoholu v krvi 1 ‰ a více","náhlé vstoupení do vozovky z chodníku, krajnice",vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-střed,16.6032036870001,49.1772831310001,d5de4469-0097-4e93-8f4e-02c29cdf6e28,616843.419982381,5448401.00286467
2442,60206202160,-603990.666,-1157094.441,12/7/2020 12:00:00 AM,1,2020,12,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1650,16,prosinec,den,pondělí,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,20000,0,0,1,1,,33-44,žena,žena,"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Bystrc,16.5230396870001,49.222153416,bdf64106-a541-4d40-adec-82a969469e0e,610900.781756116,5453268.29426503
2443,60206202161,-601638.62,-1163330.613,12/7/2020 12:00:00 AM,1,2020,12,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",735,7,prosinec,den,pondělí,Nezjišťován,nezjišťováno,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace místní,0,0,1,3000,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení těsně před nebo za vozidlem stojícím v zastávce,jinou osobou,lehké zranění,Brno-Starý Lískovec,16.564393678,49.1686956560001,f17398f9-04fc-430b-ab67-84c71afe7516,614034.729884009,5447387.21636852
2444,60206202171,-596524.141,-1156639.52,12/9/2020 12:00:00 AM,3,2020,12,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",838,8,prosinec,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,5000,0,1,0,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-sever,16.624285678,49.2334679470001,d48f0705-cf08-437f-a56b-4e49e2f21845,618245.762230748,5454679.41636223
2445,60206202174,-603982.51,-1157962.885,12/9/2020 12:00:00 AM,3,2020,12,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1657,16,prosinec,den,středa,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,20000,0,0,1,1,,71 a více,žena,žena,nezjištěno,špatný odhad vzdálenosti a rychlosti vozidla,jiná situace,vozidlem RZP,lehké zranění,Brno-Bystrc,16.524445686,49.2143980530001,cd0b1463-aeef-4149-8c8a-c4b5574b5a72,611020.529459235,5452408.24121813
2446,60206202212,-596735.45,-1159012.187,12/15/2020 12:00:00 AM,2,2020,12,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1330,13,prosinec,den,úterý,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,20000,0,0,1,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-sever,16.624895688,49.2120509330001,17147d49-bcee-41fc-8360-048fd7b7c498,618341.310763867,5452299.58974171
2447,60206202229,-594934.985,-1161011.061,12/17/2020 12:00:00 AM,4,2020,12,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1310,13,prosinec,den,čtvrtek,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,5000,0,0,1,1,,61-70,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Židenice,16.6524006870001,49.1959131250001,361ef472-e637-44b2-9469-e4d77fd483f3,620383.599748516,5450549.05777019
2448,60206202241,-599295.066,-1162441.99,11/27/2020 12:00:00 AM,5,2020,11,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1755,17,listopad,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,při odbočování vlevo,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,1000,0,0,0,1,,33-44,muž,jiná skupina,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,nebylo třeba poskytnout,bez zranění,Brno-střed,16.59503468,49.1789132210001,88a4eb8a-7a6b-4eea-974e-9ebfe6e16d90,616244.25676008,5448569.63050994
2449,60206202241,-599295.066,-1162441.99,11/27/2020 12:00:00 AM,5,2020,11,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1755,17,listopad,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,při odbočování vlevo,povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,1000,0,0,1,1,,0-6,chlapec (do 15 let),jiná skupina,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,vozidlem RZP,lehké zranění,Brno-střed,16.59503468,49.1789132210001,5aeba048-b17b-4983-ac7f-e4e46bcace2c,616244.25676008,5448569.63050994
2450,60206202251,-600281.016,-1157972.422,12/21/2020 12:00:00 AM,1,2020,12,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1120,11,prosinec,den,pondělí,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,parkoviště přiléhající ke komunikaci,komunikace místní,0,0,1,0,0,0,1,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,jinou osobou,lehké zranění,Brno-Žabovřesky,16.5749726880001,49.217916217,92bd0509-922a-4ddf-8466-54f8f797ef6e,614691.975396532,5452874.70580352
2451,60206202262,-601654.04,-1162220.365,12/23/2020 12:00:00 AM,3,2020,12,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1200,12,prosinec,den,středa,Nezjišťován,nezjišťováno,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,8000,0,0,1,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál VOLNO,vozidlem RZP,lehké zranění,Brno-Nový Lískovec,16.5625376890001,49.178606207,9ac155b5-e4ae-4d17-8df0-3fabc991c960,613876.704326319,5448486.10563711
2452,60206202267,-597533.675,-1160660.998,12/23/2020 12:00:00 AM,3,2020,12,řidičem motorového vozidla,"v noci - s veřejným osvětlením, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.)",2008,20,prosinec,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,24-32,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál VOLNO,poskytnuta osádkou vozidel zúčast.na nehodě,lehké zranění,Brno-střed,16.616432677,49.1965391570001,48634773-bf1e-4b4f-ba83-7bdb62f10ef9,617761.810430695,5450562.0543829
2453,60206202268,-604438.186,-1157517.738,12/23/2020 12:00:00 AM,3,2020,12,řidičem motorového vozidla,"v noci - s veřejným osvětlením, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.)",2302,23,prosinec,noc,středa,Pod vlivem drog,ano,nepřiměřená rychlost jízdy,srážka s chodcem,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)",povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),1,0,0,0,1,0,0,1,,24-32,muž,muž,jiný neuvedený stav,žádné z uvedených,jiná situace,vozidlem RZP,usmrcení,Brno-Bystrc,16.517563685,49.2179322150001,5bc7e36c-78cf-4a5c-8f19-fd9f79a7d628,610511.471441933,5452791.03594222
2454,60206202291,-598078,-1157936.409,12/31/2020 12:00:00 AM,4,2020,12,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",930,9,prosinec,den,čtvrtek,Ne,ne,nepřiměřená rychlost jízdy,srážka s jedoucím nekolejovým vozidlem,"nepřizpůsobení rychlosti stavu vozovky (náledí, výtluky, bláto, mokrý povrch apod.)","na vozovce je náledí, ujetý sníh - neposypané","tvoří se námraza, náledí",dobré,"most, nadjezd, podjezd, tunel",komunikace sledovaná (ve vybraných městech),0,1,3,230000,0,1,0,1,,33-44,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,jiná situace,vozidlem RZP,těžké zranění,Brno-Královo Pole,16.604986678,49.220372336,66fd98f8-1b4b-459c-ada2-388140bd7997,616871.765742498,5453193.67225954
2455,60206210006,-599243.426,-1161709.873,1/3/2021 12:00:00 AM,7,2021,1,řidičem motorového vozidla,"ve dne, zhoršená viditelnost (svítání, soumrak)",1620,16,leden,den,neděle,"Ano, obsah alkoholu v krvi od 0,8‰ do 1,0‰",ano,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,40000,0,1,0,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-střed,16.594657683,49.185508579,da4d60bd-1bc3-47dc-9ee8-a029117459f3,616201.336154647,5449302.2085255
2456,60206210007,-603264.955,-1156721.505,1/3/2021 12:00:00 AM,7,2021,1,chodcem,"ve dne, zhoršená viditelnost (svítání, soumrak)",1635,16,leden,den,neděle,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,3000,0,0,1,1,,61-70,žena,žena,"nepozornost, roztržitost",špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Bystrc,16.532388686,49.2261956090001,51790ba4-5800-4b4a-bff2-cf98bb5fa8bd,611572.406545238,5453731.38760181
2457,60206210008,-598821.718,-1159446.773,1/4/2021 12:00:00 AM,1,2021,1,chodcem,"ve dne, zhoršená viditelnost (svítání, soumrak)",1625,16,leden,den,pondělí,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,7-11,dívka (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","náhlé vstoupení do vozovky z chodníku, krajnice",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.5970676850001,49.2061496420001,a88bbf7c-12e1-42ad-99dc-1568609e429d,616328.519224659,5451600.42938895
2458,60206210016,-595062.871,-1161044.286,1/6/2021 12:00:00 AM,3,2021,1,chodcem,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",700,7,leden,den,středa,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,0,0,0,1,1,,19-24,muž,muž,"nepozornost, roztržitost",žádné z uvedených,vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-Židenice,16.650704687,49.1954931020001,4ea57c84-0b7d-4d6a-bfac-450179d63098,620261.063238769,5450499.67041957
2459,60206210020,-599246.471,-1162444.903,1/6/2021 12:00:00 AM,3,2021,1,řidičem motorového vozidla,"ve dne, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, sněžení, déšť apod.)",1425,14,leden,den,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,70000,0,0,1,1,,24-32,muž,muž,"pod vlivem alkoholu, obsah alkoholu v krvi 1 ‰ a více",špatný odhad vzdálenosti a rychlosti vozidla,přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-střed,16.5957016840001,49.1789342230001,da32c200-5276-4912-9d05-1d6946b449c5,616292.816198111,5448572.98966267
2460,60206210029,-592385.779,-1162872.63,1/9/2021 12:00:00 AM,6,2021,1,řidičem motorového vozidla,"v noci - bez veřejného osvětlení, viditelnost nezhoršená vlivem povětrnostních podmínek",1715,17,leden,den,sobota,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),1,0,0,35000,1,0,0,1,,71 a více,žena,žena,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰,","správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,usmrcení,Brno-Slatina,16.6898996790001,49.1817133700001,052a7246-3b92-4e21-bde5-c1e61ad520ba,623150.675592798,5449030.91625984
2461,60206210034,-599548.381,-1157719.793,1/11/2021 12:00:00 AM,1,2021,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1220,12,leden,den,pondělí,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,1,0,0,0,1,0,1,,71 a více,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",jiná situace,vozidlem RZP,těžké zranění,Brno-Královo Pole,16.5845976790001,49.220885357,4c9b5200-7215-4e01-a3e8-999c754009c8,615385.942494722,5453219.40182499
2462,60206210046,-596588.121,-1161455.075,1/13/2021 12:00:00 AM,3,2021,1,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1450,14,leden,den,středa,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,"zastávka tramvaje, autobusu, trolejbusu bez nástup. ostrůvku",komunikace místní,0,0,1,1000,0,0,1,1,,0-6,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-Černovice,16.630500682,49.190351831,4512e2e3-e20f-4753-90be-79d941295620,618801.484760708,5449896.24310458
2463,60206210068,-595477.161,-1159434.026,1/19/2021 12:00:00 AM,2,2021,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",2560,25,leden,noc,úterý,Ne,ne,nesprávný způsob jízdy,srážka s chodcem,vyhýbání bez dostatečného bočního odstupu (vůle),povrch mokrý,neztížené,dobré,žádné nebo žádné z uvedených,komunikace sledovaná (ve vybraných městech),0,0,1,5000,0,0,1,1,,45-60,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,žádné z uvedených,jiná situace,,lehké zranění,Brno-Židenice,16.6426876840001,49.209491804,29ea42ca-af90-4ea3-96fb-5937ac7eb84b,619643.229012266,5452043.09231832
2464,60206210076,-597313.765,-1162809.871,1/21/2021 12:00:00 AM,4,2021,1,chodcem,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1230,12,leden,den,čtvrtek,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,parkoviště přiléhající ke komunikaci,komunikace místní,0,0,1,10000,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),nezjištěno,"náhlé vstoupení do vozovky z chodníku, krajnice",přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-jih,16.6225966820001,49.177539144,d7ede450-b056-433f-9060-dc31e3502310,618256.140606376,5448459.57721479
2465,60206210084,-595842.321,-1158928.727,1/22/2021 12:00:00 AM,5,2021,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",1905,19,leden,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,"na počátku deště, slabý déšť, mrholení apod.",dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,1,0,5000,0,1,0,1,,33-44,muž,muž,"pod vlivem alkoholu, obsah alkoholu v krvi do 0,99 ‰,","správné, přiměřené",vstup chodce na signál VOLNO,vozidlem RZP,těžké zranění,Brno-sever,16.6369616810001,49.2136580160001,4c733e3a-2a71-4197-9397-a19b5473b6ae,619216.178004293,5452497.18098026
2466,60206210090,-597258.628,-1160512.065,1/25/2021 12:00:00 AM,1,2021,1,chodcem,"ve dne, zhoršená viditelnost (svítání, soumrak)",1650,16,leden,den,pondělí,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,"povrch suchý, neznečistěný",neztížené,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,7-11,dívka (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,špatný odhad vzdálenosti a rychlosti vozidla,přecházení mimo přechod (2O a více metrů od přechodu),vozidlem RZP,lehké zranění,Brno-střed,16.619965678,49.1981362400001,dbf0e171-3450-4fb2-8a57-552f5a4673ad,618015.389190718,5450745.09422016
2467,60206210091,-598183.4,-1161317.184,1/26/2021 12:00:00 AM,2,2021,1,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",619,6,leden,den,úterý,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,1,0,0,0,1,0,1,,61-70,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",vstup chodce na signál VOLNO,vozidlem RZP,těžké zranění,Brno-střed,16.6085366830001,49.1900448150001,48e0c03f-a773-4c66-8c4e-920766427301,617201.9312957,5449827.86879029
2468,60206210099,-598570.284,-1157473.518,1/28/2021 12:00:00 AM,4,2021,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",750,7,leden,den,čtvrtek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,1000,0,0,1,1,,12-15,chlapec (do 15 let),dítě (do 15 let),"nepozornost, roztržitost","zmatené, zbrklé, nerozhodné jednání",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Královo Pole,16.597583689,49.2240345050001,21397e38-200f-46c4-a4f8-e03ed1578ca4,616324.118128815,5453589.3601163
2469,60206210104,-592238.668,-1159769.946,1/1/2021 12:00:00 AM,5,2021,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",2560,25,leden,noc,pátek,Nezjišťován,nezjišťováno,nesprávný způsob jízdy,srážka s chodcem,řidič se plně nevěnoval řízení vozidla,"povrch suchý, neznečistěný",neztížené,dobré,žádné nebo žádné z uvedených,komunikace místní,0,0,1,0,0,0,1,1,,71 a více,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení mimo přechod (2O a více metrů od přechodu),jinou osobou,lehké zranění,Brno-Líšeň,16.6873756740001,49.2095968180001,fca6e161-7955-444d-a9df-3accb95416c5,622897.630882112,5452126.3940564
2470,60206210111,-593816.275,-1160259.943,1/29/2021 12:00:00 AM,5,2021,1,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",959,9,leden,den,pátek,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,sněžení,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,10000,0,0,1,1,,19-24,muž,muž,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-Líšeň,16.666563678,49.2037035170001,16584a6c-76f4-4533-971a-1917c616ccdd,621396.311336582,5451437.68268274
2471,60206210132,-598160.673,-1158395.254,2/3/2021 12:00:00 AM,3,2021,2,chodcem,"ve dne, zhoršená viditelnost (svítání, soumrak)",1717,17,únor,den,středa,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,déšť,dobré,přechod pro chodce,uzel (křižovatka sledovaná ve vybraných městech),0,0,1,10000,0,0,1,1,,7-11,chlapec (do 15 let),dítě (do 15 let),dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",vstup chodce na signál STŮJ,vozidlem RZP,lehké zranění,Brno-Královo Pole,16.6045356810001,49.216190135,739ebd2e-bec3-47b3-a69c-efa1c6b63c88,616848.787293633,5452728.06904999
2472,60206210133,-599547.117,-1158890.212,2/3/2021 12:00:00 AM,3,2021,2,chodcem,"v noci - s veřejným osvětlením, zhoršená viditelnost vlivem povětrnostních podmínek (mlha, déšť, sněžení apod.)",1833,18,únor,den,středa,Ne,ne,nezaviněno řidičem,srážka s chodcem,nezaviněná řidičem,povrch mokrý,déšť,dobré,v blízkosti přechodu pro chodce (do vzdálenosti 20 m),komunikace sledovaná (ve vybraných městech),0,0,1,0,0,0,1,1,,45-60,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"náhlé vstoupení do vozovky z chodníku, krajnice",vstup chodce do vozovky v blízkosti přechodu (cca do 2O m),vozidlem RZP,lehké zranění,Brno-Žabovřesky,16.586346684,49.210422856,a9d2f829-1265-432a-b808-887dd39ba4c9,615537.683528223,5452059.02570491
2473,60206210170,-603014.363,-1157262.657,2/10/2021 12:00:00 AM,3,2021,2,řidičem motorového vozidla,"v noci - s veřejným osvětlením, viditelnost nezhoršená vlivem povětrnostních podmínek",2101,21,únor,noc,středa,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,povrch mokrý,neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,1,0,30000,0,1,0,1,,19-24,muž,muž,nezjištěno,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,těžké zranění,Brno-Komín,16.536614679,49.2216023920001,16401ce7-ea87-4cca-bc01-dc4720e6b13c,611889.2666,5453236.2442
2474,60206210180,-597349.806,-1159989.366,2/14/2021 12:00:00 AM,7,2021,2,řidičem motorového vozidla,"ve dne, viditelnost nezhoršená vlivem povětrnostních podmínek",1438,14,únor,den,neděle,Ne,ne,nedání přenosti v jízdě,srážka s chodcem,chodci na vyznačeném přechodu,"povrch suchý, neznečistěný",neztížené,dobré,přechod pro chodce,komunikace sledovaná (ve vybraných městech),0,0,1,20000,0,0,1,1,,16-18,žena,žena,dobrý - žádné nepříznivé okolnosti nebyly zjištěny,"správné, přiměřené",přecházení po vyznačeném přechodu,vozidlem RZP,lehké zranění,Brno-sever,16.6179516890001,49.20272147,3e58137f-e166-463e-a12e-1bb1164b1453,617857.775941942,5451251.66184118
